key_raw	key_norm	in_pref	body_count	samples	flag	short_key	sources	expansion
(Hoernle) MR	(Hoernle) MR	1	0		pref_only	0	bhspref07.md:86	Hoernle (general editor), Manuscript Remains of Buddhist literature found in Eastern Turkestan, Oxford, 1916. BHS fragments ed. by Hoernle, Lüders, Pargiter, Thomas.
(Jä.,) Jäschke	(Jä.,) Jäschke	1	0		pref_only	0	bhspref09.md:196	Jäschke, Tibetan-English Dictionary.
ABORI	ABORI	1	0		pref_only	0	bhspref08.md:50	Annals of the Bhandarkar Oriental Research Institute (Poona).
ASGW	ASGW	1	0		pref_only	0	bhspref08.md:94	Abhandlungen der sächsischen Gesellschaft der Wissenschaften.
AbhK.	AbhK.	1	0		pref_only	0	bhspref07.md:12	preceding.
ApŚ!	ApŚ!	1	0		pref_only	0	bhspref08.md:90	Āpastamba Śrauta Sūtra.
B (as in Wh. Roots)	B (as in Wh. Roots)	1	0		pref_only	0	bhspref08.md:106	Brāhmaṇa(s).
B. in Tr. (Warren)	B. in Tr. (Warren)	1	0		pref_only	0	bhspref08.md:108	Warren's Buddhism in Translations, HOS. 3.
Bcṭ, Bca.ṭ.	Bcṭ, Bca.ṭ.	1	0		pref_only	0	bhspref07.md:22	Bodhicaryāvatāra-ṭīkā, ed. LaVallée Poussin, Brussels, 1898. Technical terms cited from Index.
Bv, Bu.v.	Bv, Bu.v.	1	0		pref_only	0	bhspref08.md:146	Buddha-vaṃsa (Pali).
Dpv., Dpvs.	Dpv., Dpvs.	1	0		pref_only	0	bhspref09.md:78	Dīp.
E. Lamotte, Mél. chin. et boud.	E. Lamotte, Mél. chin. et boud.	1	0		pref_only	0	bhspref09.md:238	Mélanges chinoises et bouddhiques.
Ep. Zeyl.	Ep. Zeyl.	1	0		pref_only	0	bhspref09.md:90	Epigraphia Zeylanica.
Geiger (W.)	Geiger (W.)	1	0		pref_only	0	bhspref09.md:122	Pali, Strassburg, 1916. Cited by numbers of sections, without the symbol §.
