key_raw	key_norm	in_pref	body_count	samples	flag	short_key	sources	expansion
Bhavishyap.	Bhavishyap.	1	0		pref_only	0	benpref03.md:35	Bhavishya-Purâṇa.
Bhâshâp.	Bhâshâp.	1	0		pref_only	0	benpref03.md:31	Bhâshâparichchheda, in Bibliotheca Indica and in my Sanskrit Chrestomathy.
Chaur.	Chaur.	1	0		pref_only	0	benpref03.md:63	and Chaurap.  Chaurapańchâçikâ, in Bohlen's ed. of Bhartṛ{??}ari.
Daçak.	Daçak.	1	0		pref_only	0	benpref03.md:83	Daçakumâracharita, ed. Wilson, partly in my Chr.
Govardh. Āryas.	Govardh. Āryas.	1	0		pref_only	0	benpref03.md:105	Govardhana Āryasaptati, ed. Soma Nath Mookerjea.
Mṛichchh.	Mṛichchh.	1	0		pref_only	0	benpref03.md:163	Mṛichchhakaṭikâ, ed. Stenzler.
Naish.	Naish.	1	0		pref_only	0	benpref03.md:167	Naishadhacharita, ed. Calc.
Somadev.	Somadev.	1	0		pref_only	0	benpref03.md:225	Nal.  Somadeva's Nala, published by Brockhaus.
Suçr.	Suçr.	1	0		pref_only	0	benpref03.md:229	Suçruta, ed. Calc.; the first numeral denotes the vol., the second the page, the third the line.
Swed.	Swed.	1	0		pref_only	0	benpref03.md:233	Swedish.
ÇKD.	ÇKD.	1	0		pref_only	0	benpref03.md:69	Çabdakalpadruma.
Çukas.	Çukas.	1	0		pref_only	0	benpref03.md:77	Çukasaptati (MSS. of St. Petersburg).
Çvet.	Çvet.	1	0		pref_only	0	benpref03.md:79	Up.  Çvetâçvataropanishad, in Bibliotheca Indica.
Çântiç.	Çântiç.	1	0		pref_only	0	benpref03.md:49	Çântiçataka, in Häberlin's Sanskrit Anthology.
Çârṅg.	Çârṅg.	1	0		pref_only	0	benpref03.md:51	Paddh.  Çârṅgadhara-Paddhati (MSS. used by Böhtl.).
Çṛiṅgârat.	Çṛiṅgârat.	1	0		pref_only	0	benpref03.md:73	Çṛiṅgâratilaks, ed. Gildemeister, in his edition of the Meghadūta.
Ṛit.  Ṛitusam̄hâra, ed.	Ṛit. Ṛitusam̄hâra, ed.	1	0		pref_only	0	benpref03.md:211	Bohlen, the first chapter also in Lass., the sixth in my Chrestomathy.
Ratnâv.	Ratnâv.	1	3	41990,84311,86612	low_count	0	benpref03.md:207	Ratnâvalî, 2. ed. Calc.
Icel.	Icel.	1	2	63518,82853	low_count	0	benpref03.md:117	Icelandic.
Lalit.	Lalit.	1	2	34781,80701	low_count	0	benpref03.md:137	Lalitavistara, in Bibliotheca Indica.
Mudrâr.	Mudrâr.	1	2	16277,16451	low_count	0	benpref03.md:165	Mudrârâkshasa, ed. Calc.
Ssk.	Ssk.	1	2	722,722	low_count	0	benpref03.md:227	and Sskr.  Sanskrit.
Sâṅkhya Aph.	Sâṅkhya Aph.	1	2	25144,80132	low_count	0	benpref03.md:215	Sâṅkhya Sūtras, in Hall's ed. of Saṅkhya Pravachana Bhâshya in Bibl. Ind.
Vârt.	Vârt.	1	2	73499,78473	low_count	0	benpref03.md:243	Vârtika.
Web.	Web.	1	2	66076,77928	low_count	0	benpref03.md:251	Ind. St.  Weber, Indische Studien, i. e. ‘Essaya concerning India.’
