key_raw	key_norm	in_pref	body_count	samples	flag	short_key	sources	expansion
Burn. Lot. de la b. l.	Burn. Lot. de la b. l.	1	0		pref_only	0	pwgpref07.md:69	Le Lotus de la bonne loi, traduit du Sanscrit etc. par M. E. Burnouf. Paris 1852.
Durgârkât.	Durgârkât.	1	0		pref_only	0	pwgpref16.md:22	Durgârkâtattva; nach Anführungen im ÇKDr.
Dâj. oder Dâjabh.	Dâj. oder Dâjabh.	1	0		pref_only	0	pwgpref08.md:38	Dâjabhâga, ed. Calc. 1829 (Gild. Bibl. 344).
Gild. Scriptorum Arabum etc.	Gild. Scriptorum Arabum etc.	1	0		pref_only	0	pwgpref16.md:24	Scriptorum Arabum de Rebus Indicis loci et opuscula inedita. Ad codicum Pariss. etc. fidem recensuit et illustravit J. Gildemeister. Bonnae MDCCCXXXVIII.
Jâǵnikad. Paddh. zu Kâtj. Çr.	Jâǵnikad. Paddh. zu Kâtj. Çr.	1	0		pref_only	0	pwgpref16.md:28	Jâǵnikadeva's Paddhati zu Kâtjâjana's Çrautasûtra; nach Mittheilungen von A. Weber.
Kaush. Br.	Kaush. Br.	1	0		pref_only	0	pwgpref09.md:34	Kaushîtakibrâhmaṇa.
Kaush. Up.	Kaush. Up.	1	0		pref_only	0	pwgpref09.md:35	Kaushîtakjupanishad.
Koshṭhîpr.	Koshṭhîpr.	1	0		pref_only	0	pwgpref09.md:44	Koshṭhîpradîpa, nach Anführungen im ÇKDr.
Kshur. Up.	Kshur. Up.	1	0		pref_only	0	pwgpref16.md:34	Kshurikopanishad.
Kâturbhú.	Kâturbhú.	1	0		pref_only	0	pwgpref09.md:31	Kâturbhuǵa, ein Scholiast des Mahâbhârata; nach Anführungen in Bopp's Ausgabe des Nala (s. unter N.).
Kâvjâk.	Kâvjâk.	1	0		pref_only	0	pwgpref09.md:37	Kâvjakandrikâ, ein Lehrbuch der Rhetorik; nach Anführungen im ÇKDr.
Mańǵuçrîn.	Mańǵuçrîn.	1	0		pref_only	0	pwgpref09.md:76	Ârjamańǵuçrînâmasańgîti, s. Verz. d. Pet. H. No. 121.
Mâdhj. Rec.	Mâdhj. Rec.	1	0		pref_only	0	pwgpref09.md:63	Mâdhjaṃdina-Recension.
Mâṇḍ. Up. Kâr.	Mâṇḍ. Up. Kâr.	1	0		pref_only	0	pwgpref09.md:75	Gaudapâda's Kârikâ zur Mâṇḍ. Up. in der Bibliotheca indica.
Mém. sur l'Inde (Reinaud,)	Mém. sur l'Inde (Reinaud,)	1	0		pref_only	0	pwgpref09.md:84	Mémoire géographique, historique et scientifique sur l'Inde antérieurement au milieu du XIe siècle de l'ère chrétienne d'après les écrivains arabes, persans et chinois par M. Reinaud. Paris 1849.
Mṛkkh.	Mṛkkh.	1	0		pref_only	0	pwgpref09.md:86	Mṛkkhakaṭikâ, ed. Stenzler (Gild. Bibl. 186).
Nârâjanaḱakr.	Nârâjanaḱakr.	1	0		pref_only	0	pwgpref16.md:48	Nârâjanaḱakravartin, ein Schol. des AK.; nach Anführungen im ÇKDr.
Nîl.** oder **Nîlak.	Nîl. oder Nîlak.	1	0		pref_only	0	pwgpref10.md:14	Nîlakaṇṭha, ein Scholiast des Mahâbhârata (angeführt in Bopp's Ausgabe des Nala) und auch des AK. (angeführt im ÇKDr.).
Paṅkav. Br.	Paṅkav. Br.	1	0		pref_only	0	pwgpref10.md:21	Paṅkaviṃçabrâhmaṇa.
Prab.** oder **Prabodh.	Prab. oder Prabodh.	1	0		pref_only	0	pwgpref10.md:27	Prabodhaḱandrodaja, ed. Brockhaus (Gild. Bibl. 216).
Pravar.** oder **Pravarâdhy.	Pravar. oder Pravarâdhy.	1	0		pref_only	0	pwgpref10.md:31	Pravarâdhjâja.
Prâjaçkittav.	Prâjaçkittav.	1	0		pref_only	0	pwgpref10.md:29	Prâjaçkittaviveka, nach Anführungen im ÇKDr.
Prât.** oder **Prâtiś.	Prât. oder Prâtiś.	1	0		pref_only	0	pwgpref10.md:30	Prâtiçâkhja.
Purush.	Purush.	1	0		pref_only	0	pwgpref10.md:33	Purushottama, ein Lexicograph (unter Anderm auch Verfasser des Trik. und der Hâr.); nach Anführungen im ÇKDr.
Pushpas.	Pushpas.	1	0		pref_only	0	pwgpref10.md:34	Pushpasûtra.
PĀÇAKAK.	PĀÇAKAK.	1	0		pref_only	0	pwgpref19.md:30	PĀÇAKAKEVALĪ in «Monatsberichte der Kön. Akademie der Wissenschaften zu Berlin», 1859, S. 158. fgg.
RV. Prât.** oder **Prâtiś.	RV. Prât. oder Prâtiś.	1	0		pref_only	0	pwgpref10.md:52	Prâtiçâkhja zum Ṛgveda, citirt nach Paṭala und Versen. Hdschr. S. Roth in der Einl. z. Nir. S. XLVII.
Roxb. Fl. ind.	Roxb. Fl. ind.	1	0		pref_only	0	pwgpref10.md:49	Flora indica or Description of Indian plants. By the late William Roxburgh. Serampore 1832. Vol. I. II. III. 8°.
RĀSHTRAPĀLAP.	RĀSHTRAPĀLAP.	1	0		pref_only	0	pwgpref19.md:32	RĀSHTRAPĀLAPARIPRIKKHĀ, handschriftlich in der Pariser Bibliothek, nach Mittheilungen von A. Schiefner.
Saṅgîtad.	Saṅgîtad.	1	0		pref_only	0	pwgpref10.md:60	Saṅgîtadâmodara (über Musik), nach Anführungen im ÇKDr.
Sch.** oder **Schol.	Sch. oder Schol.	1	0		pref_only	0	pwgpref10.md:66	Scholiast.
Shaḍv. Br.	Shaḍv. Br.	1	0		pref_only	0	pwgpref10.md:67	Shaḍviṃçabrâhmaṇa.
Up. und Upak.	Up. und Upak.	1	0		pref_only	0	pwgpref16.md:63	Upakoçâ (Geschichte der; s. Gild. Bibl. 239).
VAGRĀSANASĀDHANAM.	VAGRĀSANASĀDHANAM.	1	0		pref_only	0	pwgpref19.md:40	VAGRĀSANASĀDHANAMĀLĀ, handschriftlich in der Pariser Bibliothek, nach Mittheilungen von A. Schiefner.
Verh. d. k. s. G. d. Ww.	Verh. d. k. s. G. d. Ww.	1	0		pref_only	0	pwgpref16.md:67	Verhandlungen der königlich-sächsischen Gesellschaft der Wissenschaften zu Leipzig.
