dict	key_norm	class	confidence	alt_form	alt_body_count	body_count	expansion	sources	notes
AP90	Etym., Ety.	true_unused	low		0	0	Etymology.	ap90pref06.md:55	no_alt_hit
AP90	Yv., Yaj.	true_unused	low		0	0	Yajurveda.	ap90pref05.md:395	no_alt_hit
AP90	Chand M.	true_unused	low		0	0	Chhandomanjarî.	ap90pref05.md:77	no_alt_hit
AP90	Chaṇḍ K.	true_unused	low		0	0	Chaṇḍakausika.	ap90pref05.md:75	no_alt_hit
AP90	Ait Br.	true_unused	low		0	0	Aitareya Brâhmaṇa (Bombay).	ap90pref05.md:15	no_alt_hit
AP90	Vṛind.	true_unused	low		0	0	S Vṛindâvanasataka.	ap90pref05.md:387	no_alt_hit
AP90	Isop.	true_unused	low		0	0	Isopanishad.	ap90pref05.md:131	no_alt_hit
