key_raw	key_norm	in_pref	body_count	samples	flag	short_key	sources	expansion
Item	Item	1	0		pref_only	0	pgnpref08.md:32	Page
Names of Brahmanas ; Jainas and Bauddhas	Names of Brahmanas ; Jainas and Bauddhas	1	0		pref_only	0	pgnpref07.md:27	87
*Bibliography*	Bibliography	1	3	183,14499,14501	low_count	0	pgnpref08.md:26	324
Epic and Puranic Names	Epic and Puranic Names	1	3	157,5239,5931	low_count	0	pgnpref07.md:28	96
*The Rivers of Junāgaṛh*	The Rivers of Junāgaṛh	1	3	182,188,14428	low_count	0	pgnpref08.md:35	322
*Code of Inscriptions*	Code of Inscriptions	1	2	147,523	low_count	0	pgnpref07.md:15	xxiii
*Coded Abbreviations*	Coded Abbreviations	1	2	146,294	low_count	0	pgnpref07.md:14	xvii
*List of Plates*	List of Plates	1	2	184,15866	low_count	0	pgnpref08.md:27	360
Names of Local Officers	Names of Local Officers	1	2	154,3100	low_count	0	pgnpref07.md:25	56
Place-Names and their Suffixes	Place-Names and their Suffixes	1	2	168,9628	low_count	0	pgnpref07.md:45	209
*Transliteration Table*	Transliteration Table	1	2	148,725	low_count	0	pgnpref07.md:16	xxvii
*India in the Gupta Age*	India in the Gupta Age	1	1	187	low_count	0	pgnpref08.md:34	xxviii
Names of Feudatory Kings and High Officers	Names of Feudatory Kings and High Officers	1	1	153	low_count	0	pgnpref07.md:24	38
Names of Householders and Traders	Names of Householders and Traders	1	1	155	low_count	0	pgnpref07.md:26	71
Names of the Gupta Kings and Queens	Names of the Gupta Kings and Queens	1	1	152	low_count	0	pgnpref07.md:23	14
Names of the Rivers and the Mountains	Names of the Rivers and the Mountains	1	1	169	low_count	0	pgnpref07.md:46	293
A	A	1	72232	1,5,5	short_key	1	pgnpref08.md:18;pgnpref08.md:19	Note on the King Candra of the Meharaulī Iron Pillar Inscription
The	The	1	9951	7,13,32		0	pgnpref08.md:22	Rivers of Junāgaṛh
Tribes	Tribes	1	90	161,163,248		0	pgnpref07.md:37	125
Explanation	Explanation	1	16	178,180,1454		0	pgnpref08.md:20;pgnpref08.md:21	of the Passage “Paiṣṭapuraka-Mahendragiri-kauṭṭūraka-svāmidatta”
*Plates*	Plates	1	16	184,186,189		0	pgnpref08.md:36	Facing page 360
Conclusion	Conclusion	1	11	159,164,170		0	pgnpref07.md:30;pgnpref07.md:38;pgnpref07.md:47	106
*Index*	Index	1	11	185,462,476		0	pgnpref08.md:28	361
*Preface*	Preface	1	10	145,191,194		0	pgnpref07.md:13	xiii
Prologue	Prologue	1	7	151,162,167		0	pgnpref07.md:22;pgnpref07.md:36;pgnpref07.md:44	3
Section	Section	1	7	6593,7012,7200		0	pgnpref07.md:10;pgnpref07.md:20;pgnpref07.md:34;pgnpref07.md:42;pgnpref08.md:24	Page
*Foreword*	Foreword	1	6	38,41,144		0	pgnpref07.md:12	vii
Names of Women	Names of Women	1	4	158,986,5522		0	pgnpref07.md:29	103
