key_raw	key_norm	in_pref	body_count	samples	flag	short_key	sources	expansion
Ait Br.	Ait Br.	1	0		pref_only	0	ap90pref05.md:15	Aitareya Brâhmaṇa (Bombay).
Chand M.	Chand M.	1	0		pref_only	0	ap90pref05.md:77	Chhandomanjarî.
Chaṇḍ K.	Chaṇḍ K.	1	0		pref_only	0	ap90pref05.md:75	Chaṇḍakausika.
Etym., Ety.	Etym., Ety.	1	0		pref_only	0	ap90pref06.md:55	Etymology.
Isop.	Isop.	1	0		pref_only	0	ap90pref05.md:131	Isopanishad.
Vṛind.	Vṛind.	1	0		pref_only	0	ap90pref05.md:387	S Vṛindâvanasataka.
Yv., Yaj.	Yv., Yaj.	1	0		pref_only	0	ap90pref05.md:395	Yajurveda.
Avyayî.	Avyayî.	1	3	1550,73346,170544	low_count	0	ap90pref06.md:31	Avyayîbhâva.
Muṇḍ.	Muṇḍ.	1	3	7631,15031,26729	low_count	0	ap90pref05.md:213	Muṇḍakopanishad.
Nîti.	Nîti.	1	3	22270,38562,46281	low_count	0	ap90pref05.md:227	Nîtisâra.
Sar.	Sar.	1	3	9459,39043,214103	low_count	0	ap90pref05.md:275;ap90pref05.md:279	K. Sarasvatîkaṇṭhâbharaṇa.
Subst.	Subst.	1	3	22293,24441,62288	low_count	0	ap90pref06.md:137	Substantive.
Ujjval.	Ujjval.	1	3	43968,46154,57310	low_count	0	ap90pref05.md:341	Ujjvaladatta.
Baudhây.	Baudhây.	1	2	12246,204663	low_count	0	ap90pref05.md:37	Baudhâyana.
Kaus.	Kaus.	1	2	22310,71454	low_count	0	ap90pref05.md:147;ap90pref05.md:149;ap90pref05.md:151	Kausikasūtra.
Nîtipr.	Nîtipr.	1	2	44580,88617	low_count	0	ap90pref05.md:229	Nîtipradîpa.
Vid.	Vid.	1	2	123856,187487	low_count	0	ap90pref05.md:373	Vidagdhamukhamaṇḍana.
Bhâr.	Bhâr.	1	1	12369	low_count	0	ap90pref05.md:47	Ch. Bhâratachampū (Bombay).
Bhâshâ P.	Bhâshâ P.	1	1	154308	low_count	0	ap90pref05.md:49	Bhàshàparichchheda.
Dhan.	Dhan.	1	1	71657	low_count	0	ap90pref05.md:93	V Dhananjayavijaya.
Dhūrt.	Dhūrt.	1	1	41689	low_count	0	ap90pref05.md:97	Dhūrtasamâgama.
Golâdh.	Golâdh.	1	1	51705	low_count	0	ap90pref05.md:117	Golâdhyàya.
Hch.	Hch.	1	1	187996	low_count	0	ap90pref05.md:125	Harshacharita.
Mâdh.	Mâdh.	1	1	31988	low_count	0	ap90pref05.md:179	N. Mâdhavanidâna.
Siva P.	Siva P.	1	1	24956	low_count	0	ap90pref05.md:299	Siva Purâṇa.
Vedànta P.	Vedànta P.	1	1	23764	low_count	0	ap90pref05.md:369	Vedântaparibhâshâ.
Vâgb.	Vâgb.	1	1	76712	low_count	0	ap90pref05.md:351	Vâgbhaṭa.
Vâk.	Vâk.	1	1	41404	low_count	0	ap90pref05.md:359	P. Vâkyapadîya.
A.	A.	1	21032	12,99,123	short_key	1	ap90pref05.md:19;ap90pref05.md:25;ap90pref06.md:25	L. Anandalaharî.
a.	a.	1	21032	12,99,123	short_key	1	ap90pref06.md:13	Adjective.
e.	e.	1	18923	56,104,109	short_key	1	ap90pref06.md:51	g. Exempli gratia, for example.
S.	S.	1	17611	59,69,114	short_key	1	ap90pref05.md:265;ap90pref05.md:285;ap90pref05.md:287;ap90pref05.md:305;ap90pref05.md:309	Sakuntalâ (Bombay).
s.	s.	1	17611	59,69,114	short_key	1	ap90pref06.md:139	v. sub voce, see under the word.
N.	N.	1	17460	4,11,66	short_key	1	ap90pref05.md:217;ap90pref06.md:101	Naishadhacharita.
n.	n.	1	17460	4,11,66	short_key	1	ap90pref06.md:99	Neuter.
R.	R.	1	16621	13,92,117	short_key	1	ap90pref05.md:247;ap90pref05.md:259	Raghuvamsa (Bombay).
D.	D.	1	14200	12,96,194	short_key	1	ap90pref05.md:91;ap90pref05.md:101	Bhàg Devîbhâgavata.
P.	P.	1	12689	60,62,133	short_key	1	ap90pref05.md:231;ap90pref05.md:235;ap90pref05.md:237;ap90pref06.md:111	Pâṇini's Ashṭâdhyâyî.
p.	p.	1	12689	60,62,133	short_key	1	ap90pref06.md:123	p. Past passive participle.
T.	T.	1	12473	3,40,63	short_key	1	ap90pref05.md:329	S. Tarkasamgraha (Bombay).
G.	G.	1	8694	13,116,172	short_key	1	ap90pref05.md:113;ap90pref05.md:115	L. Gangâlaharî.
U.	U.	1	7619	107,192,239	short_key	1	ap90pref05.md:333;ap90pref06.md:143	Uttararàmacharita.
Y.	Y.	1	7274	118,121,147	short_key	1	ap90pref05.md:391	Yâjñavalkya (Mr. Mandlik's Edition).
