dict	key_norm	class	confidence	alt_form	alt_body_count	body_count	expansion	sources	notes
GRA	192— 234	true_unused	low		0	0	2,1— 2,43,         621— 712 =  8,1—  8,92,	grapref05.md:16;grapref06.md:27	no_alt_hit
GRA	235— 296	true_unused	low		0	0	3,1— 3,62,         713— 826 =  9,1—  9,114,	grapref05.md:17;grapref06.md:28	no_alt_hit
GRA	297— 354	true_unused	low		0	0	4,1— 4,58,         827—1017 = 10,1— 10,191,	grapref05.md:18;grapref06.md:29	no_alt_hit
GRA	355— 441	true_unused	low		0	0	5,1— 5,87,        1018—1028 = Vālakhilya 1—11.	grapref05.md:19;grapref06.md:30	no_alt_hit
GRA	442— 516	true_unused	low		0	0	6,1— 6,75,	grapref05.md:20;grapref06.md:31	no_alt_hit
GRA	1— 191	true_unused	low		0	0	1,1— 1,191,        517— 620 =  7,1—  7,104,	grapref05.md:15;grapref06.md:26	no_alt_hit
