key_raw	key_norm	in_pref	body_count	samples	flag	short_key	sources	expansion
AV. Prâjaçḱ.	AV. Prâjaçḱ.	1	0		pref_only	0	pwpref03.md:62	Prâjaçḱitta zum AV., Hdschr. (Roth).
Anukram. zu RV.	Anukram. zu RV.	1	0		pref_only	0	pwpref03.md:38	Anukramaṇikâ zu RV. im Comm. Sâjaṇa's.
Bhar. Nâṭjaç.	Bhar. Nâṭjaç.	1	0		pref_only	0	pwpref03.md:78	Bhâratîjanâṭjaçâstra am Schluss von Daçar. in der Bibl. ind.
Bhavishjott. P.	Bhavishjott. P.	1	0		pref_only	0	pwpref03.md:86	Bhavishjottarapurâṇa nach Citaten in andern Werken.
Bhoǵa-Pr.	Bhoǵa-Pr.	1	0		pref_only	0	pwpref03.md:90	Bhoǵaprabandha, Benares 1925 (Kern).
Bhoǵa-Ḱar.	Bhoǵa-Ḱar.	1	0		pref_only	0	pwpref03.md:88	Bhoǵakaritra, Madras 1862 (Stenzler).
Bhâshâp.	Bhâshâp.	1	0		pref_only	0	pwpref03.md:80	Bhâshâpariḱḱheda in der Bibl. ind.
Bîǵag.	Bîǵag.	1	0		pref_only	0	pwpref03.md:94	Bîǵaganita, Calcutta 1846 (Kern).
Divjâv.	Divjâv.	1	0		pref_only	0	pwpref03.md:180	Divjâvadâna, Hdschr. (Schiefner).
Gâbâlop.	Gâbâlop.	1	0		pref_only	0	pwpref03.md:182	Gâbâlopanishad in der Bibl. ind. (Geldner und Roth).
Harshaḱ.	Harshaḱ.	1	0		pref_only	0	pwpref04.md:30	Harshaḱarita, Calcutta 1876 (Kern).
Hâsj.	Hâsj.	1	0		pref_only	0	pwpref04.md:32	Hâsjârnava, Bombay 1757 und Hdschr. (Cappeller).
Jogas.	Jogas.	1	0		pref_only	0	pwpref04.md:56	Jogasûtra.
Kaush. Up.	Kaush. Up.	1	0		pref_only	0	pwpref04.md:104	Kaushîtakibrâhmanopanishad in der Bibl. ind.
Kaush. Âr.	Kaush. Âr.	1	0		pref_only	0	pwpref04.md:102	Kaushîtakâranjaka (Weber).
Kauç.	Kauç.	1	0		pref_only	0	pwpref04.md:98	Kauçika's Sûtra zum AV., Hdschrr. (Roth und Weber).
Kshitîç.	Kshitîç.	1	0		pref_only	0	pwpref04.md:120	Kshitiçavaṁçâvalîḱarita, Ausg. von Pertsch.
