key_raw	key_norm	in_pref	body_count	samples	flag	short_key	sources	expansion
Kauṭ(ilīyam Arthaśāstram), Jolly's Liste IF 31, 204 ff. M	Kauṭ(ilīyam Arthaśāstram), Jolly's Liste IF 31, 204 ff. M	1	0		pref_only	0	schpref04.md:20	ed. 1909; A = Münchener Ms Nr. 334, B = Nr. 335.
Par. Sār.	Par. Sār.	1	3	73069,73649,76312	low_count	0	schpref04.md:36	The Paramārtha Sāra (The Kashmir Series of Texts and Studies edited by J. C. Chatterji, Srinagar 1911 ff., Vol. VII).
Par. Tr.	Par. Tr.	1	1	45924	low_count	0	schpref04.md:38	The Parā Trimsikā (Vol. XXI in voriger Serie).
Śṛṅgt	Śṛṅgt	1	167	1913,2238,6011		0	schpref04.md:72	Śṛṅgāratilakabhāṇa ed. Kāvyamālā Nr. 44.
Praty. Hṛd.	Praty. Hṛd.	1	133	1061,5720,6323		0	schpref04.md:44	Pratyabhijñā Hṛdaya (Vol. III der Kashmir Series).
Mgs	Mgs	1	100	687,1246,1520		0	schpref04.md:48	Mānavagṛhyasūtra ed. Knauer.
Śṛṅgbh	Śṛṅgbh	1	41	5113,10250,14003		0	schpref04.md:74	Śṛṅgārabhūṣaṇabhāṇa ed. Kāvyamālā Nr. 58.
Śiv. Vim.	Śiv. Vim.	1	4	17264,18045,32333		0	schpref04.md:68	The Shiva Sūtra Vimarshinī (The Kashmir Series . . . Vol. I).
