key_raw	key_norm	in_pref	body_count	samples	flag	short_key	sources	expansion
&c., etc.	&c., etc.	1	0		pref_only	0	mdpref10.md:168	et cetera, and so forth.
bg., beg.	bg., beg.	1	0		pref_only	0	mdpref10.md:29	beginning.
col., coll.	col., coll.	1	0		pref_only	0	mdpref10.md:33	collective, -ly.
e.g.	e.g.	1	0		pref_only	0	mdpref10.md:51	for example.
enc., encl.	enc., encl.	1	0		pref_only	0	mdpref10.md:53	enclitic.
i.e.	i.e.	1	0		pref_only	0	mdpref10.md:71	that is.
incor., incorr.	incor., incorr.	1	0		pref_only	0	mdpref10.md:76	incorrect.
indc., indec.	indc., indec.	1	0		pref_only	0	mdpref10.md:78	indeclinable.
indf.	indf.	1	0		pref_only	0	mdpref10.md:79	indefinite.
nr., num.	nr., num.	1	0		pref_only	0	mdpref10.md:96	numeral.
or., orig.	or., orig.	1	0		pref_only	0	mdpref10.md:101	originally.
ph., phil.	ph., phil.	1	0		pref_only	0	mdpref10.md:109	philosophical term.
pn., prn.	pn., prn.	1	0		pref_only	0	mdpref10.md:111	pronoun.
pos., poss.	pos., poss.	1	0		pref_only	0	mdpref10.md:112	possessive.
q.v.	q.v.	1	0		pref_only	0	mdpref10.md:126	which see.
rel., rl.	rel., rl.	1	0		pref_only	0	mdpref10.md:129	relative.
rep., rp.	rep., rp.	1	0		pref_only	0	mdpref10.md:130	repeated.
s., sg.	s., sg.	1	0		pref_only	0	mdpref10.md:133	singular.
s.v.	s.v.	1	0		pref_only	0	mdpref10.md:144	sub voce.
v.r.	v.r.	1	0		pref_only	0	mdpref10.md:157	various reading.
sx.	sx.	1	3	1624,16193,55097	low_count	0	mdpref10.md:145	suffix.
Lat.	Lat.	1	2	30376,59936	low_count	0	mdpref10.md:86	Latin.
athg.	athg.	1	2	67462,67802	low_count	0	mdpref10.md:26	anything.
SV.	SV.	1	1	29628	low_count	0	mdpref10.md:143	Sâma-veda.
TBr.	TBr.	1	1	76973	low_count	0	mdpref10.md:148	Taittirîya-Brâhmaṇa.
dbl.	dbl.	1	1	51056	low_count	0	mdpref10.md:43	double.
emp.	emp.	1	1	27139	low_count	0	mdpref10.md:52	emphatic.
obj.	obj.	1	1	16298	low_count	0	mdpref10.md:97	object.
rf.	rf.	1	1	54110	low_count	0	mdpref10.md:131	reflexive.
°–	°–	1	0		short_pref_only	1	mdpref10.md:164	at the beginning of a compound (the degree representing the word in question).
–°	–°	1	0		short_pref_only	1	mdpref10.md:163	at the end of a compound.
N.	N.	1	18509	8,16,16	short_key	1	mdpref10.md:95	name; when alone = name of a man or of a woman.
m.	m.	1	17022	16,52,60	short_key	1	mdpref10.md:90	masculine.
P.	P.	1	9595	40,140,160	short_key	1	mdpref10.md:103;mdpref10.md:104	Parasmaipada.
f.	f.	1	8349	20,24,100	short_key	1	mdpref10.md:58	feminine.
C.	C.	1	6915	272,304,324	short_key	1	mdpref10.md:31	Classical (post-Vedic) Sanskrit.
d.	d.	1	6906	1,24,36	short_key	1	mdpref10.md:42	dative.
V.	V.	1	4836	588,692,920	short_key	1	mdpref10.md:152	Veda, Vedic.
v.	v.	1	4836	588,692,920	short_key	1	mdpref10.md:153	vide, see.
S.	S.	1	4713	20,28,100	short_key	1	mdpref10.md:132	Sûtra.
g.	g.	1	3575	12,40,132	short_key	1	mdpref10.md:64	genitive.
E.	E.	1	3272	32,48,88	short_key	1	mdpref10.md:50	Epic.
T.	T.	1	3084	56,60,112	short_key	1	mdpref10.md:146	title.
t.	t.	1	3084	56,60,112	short_key	1	mdpref10.md:147	term.
R.	R.	1	3042	76,80,84	short_key	1	mdpref10.md:127	river.
√	√	1	1811	568,568,576	short_key	1	mdpref10.md:169	root.
=	=	1	1777	12,100,136	short_key	1	mdpref10.md:162	equals, is the equivalent of.
B.	B.	1	1252	260,304,456	short_key	1	mdpref10.md:28	Buddhistic term.
w.	w.	1	581	1356,1448,1972	short_key	1	mdpref10.md:159	with.
U.	U.	1	344	1164,1172,1800	short_key	1	mdpref10.md:151	Upanishad.
&	&	1	253	588,672,1172	short_key	1	mdpref10.md:167	and.
K.	K.	1	245	52,392,428	short_key	1	mdpref10.md:85	king.
±	±	1	218	21659,25847,27395	short_key	1	mdpref10.md:166	with or without.
+	+	1	107	2156,4343,4428	short_key	1	mdpref10.md:165	with; also.
pp.	pp.	1	4990	40,140,160		0	mdpref10.md:114	perfect passive participle.
ac.	ac.	1	2299	576,1192,1556		0	mdpref10.md:20	accusative.
lc.	lc.	1	2165	272,304,324		0	mdpref10.md:87	locative.
id.	id.	1	2077	24,36,152		0	mdpref10.md:70	the same.
ad.	ad.	1	2045	136,260,284		0	mdpref10.md:22	adverb, -ial, -ially.
in.	in.	1	1958	16,104,304		0	mdpref10.md:75	instrumental.
cs.	cs.	1	1520	1444,1556,1616		0	mdpref10.md:41	causal.
fp.	fp.	1	1338	184,248,312		0	mdpref10.md:61	future participle passive.
pl.	pl.	1	1210	148,572,588		0	mdpref10.md:110	plural.
ep.	ep.	1	830	1052,6312,6724		0	mdpref10.md:55	epithet.
eq.	eq.	1	622	148,1268,2636		0	mdpref10.md:56	equivalent.
st.	st.	1	578	368,396,484		0	mdpref10.md:139	stem.
den.	den.	1	565	1380,1408,2800		0	mdpref10.md:44	denominative.
ps.	ps.	1	475	600,1444,1760		0	mdpref10.md:123	passive.
Pr.	Pr.	1	463	600,804,888		0	mdpref10.md:115	Prâkrit (Sanskrit equivalent of Prâkrit word), Prâkritic.
pr.	pr.	1	463	600,804,888		0	mdpref10.md:116	present.
pt.	pt.	1	450	600,804,888		0	mdpref10.md:124	participle.
sp.	sp.	1	438	672,912,1456		0	mdpref10.md:137	specifically.
prop.	prop.	1	433	4532,5684,6468		0	mdpref10.md:120	properly.
Br.	Br.	1	424	37843,46738,47042		0	mdpref10.md:30	Brâhmaṇa.
TS.	TS.	1	387	612,1412,2472		0	mdpref10.md:150	Taittirîya-Samhitâ.
Eng.	Eng.	1	381	2,1100,1544		0	mdpref10.md:54	English.
esp.	esp.	1	354	672,912,1456		0	mdpref10.md:57	especially.
abst.	abst.	1	330	484,860,900		0	mdpref10.md:19	abstract.
des.	des.	1	315	2508,3664,3668		0	mdpref10.md:46	desiderative.
inf.	inf.	1	293	712,5364,6468		0	mdpref10.md:80	infinitive.
mg.	mg.	1	267	27395,27395,28735		0	mdpref10.md:93	meaning.
gr.	gr.	1	238	116,1000,1456		0	mdpref10.md:68	grammatical term.
ord.	ord.	1	235	436,4156,12513		0	mdpref10.md:102	ordinary.
du.	du.	1	227	1164,1172,6804		0	mdpref10.md:49	dual.
pat.	pat.	1	217	13792,13901,15144		0	mdpref10.md:105	patronymic.
tr.	tr.	1	209	1448,10016,13988		0	mdpref10.md:149	transitive.
fr.	fr.	1	193	3772,7496,11688		0	mdpref10.md:62	from.
fig.	fig.	1	165	1372,2388,7132		0	mdpref10.md:60	figurative, -ly.
gnly.	gnly.	1	148	20659,20698,23623		0	mdpref10.md:67	generally.
intv.	intv.	1	143	15565,16298,16662		0	mdpref10.md:83	intensive (frequentative).
int.	int.	1	141	2116,6076,6180		0	mdpref10.md:81	intransitive.
red.	red.	1	137	476,1640,1940		0	mdpref10.md:128	reduplicated, reduplication.
gd.	gd.	1	135	520,888,1616		0	mdpref10.md:65	gerund (indeclinable participle).
opp.	opp.	1	128	19024,20544,29788		0	mdpref10.md:99	opposite.
spv.	spv.	1	125	2208,3800,3920		0	mdpref10.md:138	superlative.
metr.	metr.	1	124	22910,47658,47658		0	mdpref10.md:92	metrical (due to exigencies of metre).
cpv.	cpv.	1	123	2212,2392,2492		0	mdpref10.md:39	comparative.
act.	act.	1	103	1392,1396,1792		0	mdpref10.md:21	active.
pf.	pf.	1	103	588,692,1784		0	mdpref10.md:108	perfect.
der.	der.	1	95	76,80,2352		0	mdpref10.md:45	derivative.
imps.	imps.	1	83	45046,49002,49058		0	mdpref10.md:73	impersonal.
AV.	AV.	1	78	3508,3516,3516		0	mdpref10.md:27	Atharva-veda.
ind.	ind.	1	73	1516,1636,1832		0	mdpref10.md:77	indicative.
ft.	ft.	1	72	2428,2876,3048		0	mdpref10.md:63	future.
aor.	aor.	1	68	668,920,960		0	mdpref10.md:23	aorist.
prn.	prn.	1	65	3616,4624,9439		0	mdpref10.md:118	pronoun, pronominal.
sc.	sc.	1	65	6812,12984,13737		0	mdpref10.md:136	scilicet, that is to say, supply.
prp.	prp.	1	63	1204,1764,2308		0	mdpref10.md:121	preposition.
abs.	abs.	1	61	1512,7104,9335		0	mdpref10.md:18	absolute.
cp.	cp.	1	59	2196,3504,8616		0	mdpref10.md:37	compare.
impv.	impv.	1	52	1448,10832,15925		0	mdpref10.md:74	imperative.
pot.	pot.	1	47	4992,17116,21651		0	mdpref10.md:113	potential.
ass.	ass.	1	45	1400,3272,11176		0	mdpref10.md:25	asseverative.
vbl.	vbl.	1	45	2308,13426,18587		0	mdpref10.md:155	verbal.
ff.	ff.	1	44	11312,18584,22275		0	mdpref10.md:59	and the following.
ij.	ij.	1	44	880,9864,10012		0	mdpref10.md:72	interjection.
ir.	ir.	1	43	4492,15970,19860		0	mdpref10.md:84	irregular.
pcl.	pcl.	1	41	1448,7988,10016		0	mdpref10.md:106	particle.
vb.	vb.	1	41	17844,18587,24811		0	mdpref10.md:154	verb.
prs.	prs.	1	39	4624,13115,13119		0	mdpref10.md:122	person.
vc.	vc.	1	38	3848,9863,10015		0	mdpref10.md:156	vocative.
met.	met.	1	30	20772,23171,25534		0	mdpref10.md:91	metronymic.
dr.	dr.	1	29	19892,24867,42641		0	mdpref10.md:48	dramatic term.
subj.	subj.	1	27	12219,17228,22135		0	mdpref10.md:142	subjunctive.
prob.	prob.	1	25	54754,55294,55394		0	mdpref10.md:119	probably.
perh.	perh.	1	24	58495,61779,62709		0	mdpref10.md:107	perhaps.
comm.	comm.	1	23	53921,53925,58042		0	mdpref10.md:34	commentator.
hvg.	hvg.	1	23	3380,6772,7144		0	mdpref10.md:69	having.
mtn.	mtn.	1	23	2120,9528,10664		0	mdpref10.md:94	mountain.
SB.	SB.	1	19	34733,35784,46009		0	mdpref10.md:134	Satapatha-Brâhmaṇa.
sb.	sb.	1	19	34733,35784,46009		0	mdpref10.md:135	substantive.
YV.	YV.	1	17	21459,49670,63186		0	mdpref10.md:161	Yagur-veda.
VS.	VS.	1	16	20615,33701,33789		0	mdpref10.md:158	Vâgasaneyi-Samhitâ.
pred.	pred.	1	15	16298,40508,54702		0	mdpref10.md:117	predicate, predicative, -ly.
cj.	cj.	1	13	17364,29259,47017		0	mdpref10.md:32	conjunction.
dim.	dim.	1	13	5180,21983,22443		0	mdpref10.md:47	diminutive.
lit.	lit.	1	13	7928,21615,28003		0	mdpref10.md:89	literally.
wk.	wk.	1	13	4672,46914,49550		0	mdpref10.md:160	weak.
app.	app.	1	12	61829,61833,61833		0	mdpref10.md:24	apposition.
conj.	conj.	1	12	52121,54842,57678		0	mdpref10.md:35	conjecture.
sthg.	sthg.	1	10	55714,59511,59511		0	mdpref10.md:140	something.
leg.	leg.	1	9	7296,17596,19328		0	mdpref10.md:88	legal term.
px.	px.	1	9	12,2308,13426		0	mdpref10.md:125	prefix.
crt.	crt.	1	8	2652,2712,30664		0	mdpref10.md:40	certain.
str.	str.	1	7	29616,35935,40456		0	mdpref10.md:141	strong.
intr.	intr.	1	6	1448,10016,13988		0	mdpref10.md:82	interrogative.
onom.	onom.	1	6	51960,53946,57810		0	mdpref10.md:98	onomatopœic.
cor.	cor.	1	5	59359,59371,59383		0	mdpref10.md:36	correlative.
cpd.	cpd.	1	5	69863,69867,70768		0	mdpref10.md:38	compound.
Gk.	Gk.	1	4	40780,55714,77837		0	mdpref10.md:66	Greek.
opt.	opt.	1	4	56809,58758,58759		0	mdpref10.md:100	optative.
