key_raw	key_norm	in_pref	body_count	samples	flag	short_key	sources	expansion
&nbsp;&nbsp;&nbsp;&nbsp;a) COMMIPHORA MUKUL ENGL.	&nbsp;&nbsp;&nbsp;&nbsp;a) COMMIPHORA MUKUL ENGL.	1	0		pref_only	0	snppref04.md:31	C. ROXBURGHII ENGL. = BALSAMODENDRUM ROXBURGHII STOCKS = B. WIGHTII ARN.;
&nbsp;&nbsp;&nbsp;&nbsp;b)	&nbsp;&nbsp;&nbsp;&nbsp;b)	1	0		pref_only	0	snppref04.md:24	*ṛṣabhaka* (Avk; Vśs); *ṛṣabhaka* is an unidentifiable plant, but Vśs identifies it as CARPOPOGON PRURIENS; see : *kapikacchŭ*;
&nbsp;&nbsp;&nbsp;&nbsp;b) COMMIPHORA ROXBURGHII ALSTON	&nbsp;&nbsp;&nbsp;&nbsp;b) COMMIPHORA ROXBURGHII ALSTON	1	0		pref_only	0	snppref04.md:32	C. AGALLOCHA ENGL. = BALSAMODENDRUM AGALLOCHA WIGHT ET ARN. = B. COMMI-
(1) a) Chopra : [COMMIPHORA ROXBURGHII (ARN.) ENGL.]	(1) a) Chopra : [COMMIPHORA ROXBURGHII (ARN.) ENGL.]	1	0		pref_only	0	snppref04.md:29	[C. AGALLOCHA (WIGHT ET ARN.) ENGL.] = BALSAMODENDRUM ROXBURGHII ARN. = AMYRIS COMMIPHORA ROXB.;
(1)	(1)	1	299	97,112,152		0	snppref04.md:20	*vibhītaka* (Avk; Bpn, p. 9; Dgv, nr. 149; Dn 1, 212; Gul; HB; HK; KB 2, p. 1017-1020; MW; Pr 220; PW; Rn 11, 322-323; V 6, p. 160; Vśs);
(4)	(4)	1	176	107,144,162		0	snppref04.md:25	*devaśirīṣa* (Vśs, unidentified).
(2) a)	(2) a)	1	16	100,209,475		0	snppref04.md:21	*rudrākṣa* (Avk; Vśs);
(3) a)	(3) a)	1	8	102,158,220		0	snppref04.md:23	*indrākṣa* (Vśs : = the tuberous root of the creeper called *ṛṣabhaka*);
