key_raw	key_norm	in_pref	body_count	samples	flag	short_key	sources	expansion
[?]	[?]	1	0		pref_only	0	shspref02.md:41;shspref02.md:42;shspref02.md:43;shspref02.md:44;shspref02.md:45;shspref02.md:46;shspref02.md:47;shspref02.md:48;shspref02.md:49;shspref02.md:50;shspref02.md:51	प्रातिपदिकम्
f. *or* fem.	f. or fem.	1	0		pref_only	0	shspref02.md:29	Feminine.
अक०	अक०	1	0		pref_only	0	shspref02.md:48	अकर्मकः
आत्म०	आत्म०	1	0		pref_only	0	shspref02.md:45	आत्मनेपदी
उभ०	उभ०	1	0		pref_only	0	shspref02.md:46	उभयपदी
क्र्यादि०	क्र्यादि०	1	0		pref_only	0	shspref02.md:41	क्र्यादिगणीयः
गौरा०	गौरा०	1	0		pref_only	0	shspref02.md:50	गौरादित्वात्
चुरा०	चुरा०	1	0		pref_only	0	shspref02.md:42	चुरादिगणीयः
द्विक०	द्विक०	1	0		pref_only	0	shspref02.md:49	द्विकर्मकः
पर०	पर०	1	0		pref_only	0	shspref02.md:44	परस्मैपदी
पृषो०	पृषो०	1	0		pref_only	0	shspref02.md:51	पृषोदरादित्वात्
षद०	षद०	1	0		pref_only	0	shspref02.md:43	षदन्तः
सक०	सक०	1	0		pref_only	0	shspref02.md:47	सकर्मकः
सङ्केतः	सङ्केतः	1	0		pref_only	0	shspref02.md:39;shspref02.md:39	सङ्केतबोधः
atm.	atm.	1	3	170536,192362,194474	low_count	0	shspref02.md:17	Atmanepada.
Reg.	Reg.	1	2	89824,170525	low_count	0	shspref02.md:30	Regular.
Super.	Super.	1	2	118851,158759	low_count	0	shspref02.md:32	Superlative.
Par.	Par.	1	1	194474	low_count	0	shspref02.md:21	Parasmaipada.
arith.	arith.	1	1	136185	low_count	0	shspref02.md:16	Arithmetic.
e. g.	e. g.	1	1	48655	low_count	0	shspref02.md:28	(Exempli gratia,) For example.
N.	N.	1	34273	15,22,23	short_key	1	shspref02.md:18	Neuter.
M.	M.	1	22128	12,22,28	short_key	1	shspref02.md:16	Masculine.
R.	R.	1	10725	16,19,28	short_key	1	shspref02.md:29	Root.
V.	V.	1	1051	178,183,189	short_key	1	shspref02.md:33	Verb.
aff.	aff.	1	15416	36,40,51		0	shspref02.md:15	Affix.
cl.	cl.	1	2259	19,134,173		0	shspref02.md:21	Class.
Ind.	Ind.	1	1586	5,71,279		0	shspref02.md:12	Indeclinable.
Neg.	Neg.	1	1538	16,193,223		0	shspref02.md:19	Negative.
Irr.	Irr.	1	475	9279,11034,11764		0	shspref02.md:13	Irregular.
adj.	adj.	1	386	3249,3264,3472		0	shspref02.md:13	Adjective.
i. e.	i. e.	1	303	645,1065,1145		0	shspref02.md:33	(Id est,) That is.
deriv.	deriv.	1	283	4368,5417,8183		0	shspref02.md:24	Derivation.
compar.	compar.	1	163	1308,1876,1959		0	shspref02.md:22	Comparative.
adv.	adv.	1	156	2802,3253,3264		0	shspref02.md:14	Adverb.
Plu.	Plu.	1	145	519,17567,17748		0	shspref02.md:24	Plural.
Poss.	Poss.	1	133	79,111,1138		0	shspref02.md:25	Possessive.
Priv.	Priv.	1	112	178,183,189		0	shspref02.md:26	Privative.
desid.	desid.	1	110	26876,67222,72293		0	shspref02.md:25	Desiderative.
c. f.	c. f.	1	95	664,3827,11575		0	shspref02.md:20	Compare.
Op.	Op.	1	86	1736,11839,12473		0	shspref02.md:20	Opposed.
Q. v.	Q. v.	1	81	2844,3632,4077		0	shspref02.md:28	(Quod vide,) Which see.
aug.	aug.	1	67	108579,111759,111764		0	shspref02.md:18	Augment.
du.	du.	1	66	9904,12005,13084		0	shspref02.md:26	Dual.
Pen.	Pen.	1	65	641,649,10600		0	shspref02.md:22	Penultimate.
Subst.	Subst.	1	55	47583,53215,62526		0	shspref02.md:31	Substantive.
gram.	gram.	1	46	3344,45946,51175		0	shspref02.md:32	Grammar.
etym.	etym.	1	29	370,17482,22389		0	shspref02.md:27	Etymology.
Phil.	Phil.	1	22	110640,111708,112090		0	shspref02.md:23	Philosophy.
caus.	caus.	1	22	108549,115915,137634		0	shspref02.md:19	Causal.
Lit.	Lit.	1	21	2865,2922,4177		0	shspref02.md:14	Literal or literally.
fig.	fig.	1	21	2865,2922,4177		0	shspref02.md:30	Figurative or figuratively.
Math.	Math.	1	10	112997,119725,121809		0	shspref02.md:17	Mathematics.
Pron.	Pron.	1	10	25285,31149,31150		0	shspref02.md:27	Pronoun.
dat.	dat.	1	8	62930,67930,113067		0	shspref02.md:23	Dative.
Loc.	Loc.	1	7	114921,136133,137632		0	shspref02.md:15	Locative.
abl.	abl.	1	7	62930,62931,62931		0	shspref02.md:12	Ablative.
gen.	gen.	1	6	11764,62931,75818		0	shspref02.md:31	Genitive.
