dict	key_norm	class	confidence	alt_form	alt_body_count	body_count	expansion	sources	notes
PWG	Zur Geschichte u. s. w. (Lassen,)	true_unused	low		0	0	Zur Geschichte der Griechischen und Indoskythischen Könige in Baktrien, Kabul und Indien durch Entzifferung der Altkabulischen Legenden auf ihren Münzen, von Christian Lassen. Bonn 1838. 8°.	pwgpref11.md:50	long_bib_or_external_title
PWG	Jâǵnikad. Paddh. zu Kâtj. Çr.	rare	high		0	0	Jâǵnikadeva's Paddhati zu Kâtjâjana's Çrautasûtra; nach Mittheilungen von A. Weber.	pwgpref16.md:28	expansion_rare_signal
PWG	Gild. Scriptorum Arabum etc.	true_unused	low		0	0	Scriptorum Arabum de Rebus Indicis loci et opuscula inedita. Ad codicum Pariss. etc. fidem recensuit et illustravit J. Gildemeister. Bonnae MDCCCXXXVIII.	pwgpref16.md:24	long_bib_or_external_title
PWG	Mém. sur l'Inde (Reinaud,)	true_unused	low		0	0	Mémoire géographique, historique et scientifique sur l'Inde antérieurement au milieu du XIe siècle de l'ère chrétienne d'après les écrivains arabes, persans et chinois par M. Reinaud. Paris 1849.	pwgpref09.md:84	long_bib_or_external_title
PWG	Pravar. oder Pravarâdhj.	spacing	med	Pravar.	1	0	Pravarâdhjâja.	pwgpref10.md:31	alt='Pravar.' body_n=1
PWG	Verh. d. k. s. G. d. Ww.	true_unused	low		0	0	Verhandlungen der königlich-sächsischen Gesellschaft der Wissenschaften zu Leipzig.	pwgpref16.md:67	long_bib_or_external_title
PWG	Burn. Lot. de la b. l.	true_unused	low		0	0	Le Lotus de la bonne loi, traduit du Sanscrit etc. par M. E. Burnouf. Paris 1852.	pwgpref07.md:69	long_bib_or_external_title
PWG	RV. Prât. oder Prâtiç.	spacing	high	RV. Prât.	1788	0	Prâtiçâkhja zum Ṛgveda, citirt nach Paṭala und Versen. Hdschr. S. Roth in der Einl. z. Nir. S. XLVII.	pwgpref10.md:52	alt='RV. Prât.' body_n=1788
PWG	Prab. oder Prabodh.	spacing	high	Prab.	2836	0	Prabodhaḱandrodaja, ed. Brockhaus (Gild. Bibl. 216).	pwgpref10.md:27	alt='Prab.' body_n=2836
PWG	Tib. Lebensb. Çâkj.	true_unused	low		0	0	Tibetische Lebensbeschreibung Çâkjamuni's, das Original von dem oben unter Lebensb. (Schiefner) aufgeführten Auszuge.	pwgpref10.md:83	no_alt_hit
PWG	Prât. oder Prâtiç.	spacing	high	Prât.	4358	0	Prâtiçâkhja.	pwgpref10.md:30	alt='Prât.' body_n=4358
PWG	VAGRĀSANASĀDHANAM.	rare	high		0	0	VAGRĀSANASĀDHANAMĀLĀ, handschriftlich in der Pariser Bibliothek, nach Mittheilungen von A. Schiefner.	pwgpref19.md:40	expansion_rare_signal
PWG	Vikr. oder Vikram.	spacing	high	Vikr.	1665	0	Vikramorvaçî, ed. Bollensen (Gild. Bibl. 206). Eine einfache Zahl verweist auf einen Çloka, eine doppelte — auf Seite und Zeile.	pwgpref11.md:27	alt='Vikr.' body_n=1665
PWG	Çâńk. oder Çâńkar.	true_unused	low		0	0	Çâńkara (ein Scholiast des Çikuntala) und Çâńkarakârâ.	pwgpref08.md:14	dual_oder_key; no_alt_hit
PWG	Dâj. oder Dâjabh.	ortho	low		0	0	Dâjabhâga, ed. Calc. 1829 (Gild. Bibl. 344).	pwgpref08.md:38	dual_oder_key; j_series_no_confirmed_body_alt
PWG	Nîl. oder Nîlak.	spacing	high	Nîlak.	1275	0	Nîlakaṇṭha, ein Scholiast des Mahâbhârata (angeführt in Bopp's Ausgabe des Nala) und auch des AK. (angeführt im ÇKDr.).	pwgpref10.md:14	alt='Nîlak.' body_n=1275
PWG	Sch. oder Schol.	spacing	high	Sch.	7123	0	Scholiast.	pwgpref10.md:66	alt='Sch.' body_n=7123
PWG	Vop. oder Vopad.	spacing	high	Vop.	5956	0	Vopadeva's Grammatik, nach Böhtlingk's Ausgabe (Gild. Bibl. 249, a. S. 170).	pwgpref11.md:38	alt='Vop.' body_n=5956
PWG	Çuk. oder Çukas.	true_unused	low		0	0	Çukasaptati in Lassen's Anthologie (Gild. Bibl. 48).	pwgpref08.md:34	dual_oder_key; no_alt_hit
PWG	Mâṇḍ. Up. Kâr.	true_unused	low		0	0	Gaudapâda's Kârikâ zur Mâṇḍ. Up. in der Bibliotheca indica.	pwgpref09.md:75	no_alt_hit
PWG	Roxb. Fl. ind.	true_unused	low		0	0	Flora indica or Description of Indian plants. By the late William Roxburgh. Serampore 1832. Vol. I. II. III. 8°.	pwgpref10.md:49	long_bib_or_external_title
