dict	key_norm	class	confidence	alt_form	alt_body_count	body_count	expansion	sources	notes
MW72	- Class.	spacing	high	Class.	43	0	Classical.	mw72pref24.md:45	alt='Class.' body_n=43
MW72	- Desid.	spacing	high	Desid.	719	0	Desiderative.	mw72pref24.md:55	alt='Desid.' body_n=719
MW72	- Ionic.	spacing	med	Ionic.	1	0	Ionic.	mw72pref24.md:90	alt='Ionic.' body_n=1
MW72	- Naigh.	spacing	high	Naigh.	267	0	Naighaṇṭuka.	mw72pref24.md:108	alt='Naigh.' body_n=267
MW72	- Pruss.	spacing	high	Pruss.	20	0	Prussian.	mw72pref24.md:134	alt='Pruss.' body_n=20
MW72	- Rig-v.	true_unused	low		0	0	Rig-veda.	mw72pref24.md:138	no_alt_hit
MW72	- Sabin.	spacing	med	Sabin.	4	0	Sabine or Sabellian (old Italic dialect).	mw72pref24.md:142	alt='Sabin.' body_n=4
MW72	- Sansk.	spacing	med	Sansk.	1	0	Sanskrit.	mw72pref24.md:144	alt='Sansk.' body_n=1
MW72	- Schol.	spacing	high	Schol.	29	0	Scholiast or Commentator.	mw72pref24.md:147	alt='Schol.' body_n=29
MW72	- Theat.	true_unused	low		0	0	Theatre or feat.	mw72pref24.md:155	no_alt_hit
MW72	- Unādis	true_unused	low		0	0	Uṇādi-sūtras (Aufrecht's edition).	mw72pref24.md:157	no_alt_hit
MW72	- arith.	true_unused	low		0	0	arithmetic.	mw72pref24.md:25	no_alt_hit
MW72	- dimin.	spacing	med	dimin.	3	0	diminutive.	mw72pref24.md:56	alt='dimin.' body_n=3
MW72	- epith.	spacing	med	epith.	4	0	epithet.	mw72pref24.md:63	alt='epith.' body_n=4
MW72	- medic.	spacing	high	medic.	13	0	medicine.	mw72pref24.md:102	alt='medic.' body_n=13
MW72	- subst.	spacing	high	subst.	7	0	substantive.	mw72pref24.md:152	alt='subst.' body_n=7
MW72	- Arab.	spacing	med	Arab.	3	0	Arabic.	mw72pref24.md:26	alt='Arab.' body_n=3
MW72	- B. R.	spacing	high	B. R.	21	0	Böhtlingk and Roth.	mw72pref24.md:35	alt='B. R.' body_n=21
MW72	- Bibl.	true_unused	low		0	0	Hibernian or Irish. [Hib.]	mw72pref24.md:79	no_alt_hit
MW72	- Bret.	spacing	med	Bret.	2	0	Breton.	mw72pref24.md:37	alt='Bret.' body_n=2
MW72	- Caus.	spacing	high	Caus.	1956	0	Causal.	mw72pref24.md:41	alt='Caus.' body_n=1956
MW72	- Gael.	spacing	med	Gael.	2	0	Gaelic.	mw72pref24.md:70	alt='Gael.' body_n=2
MW72	- Germ.	spacing	high	Germ.	649	0	German or High-German.	mw72pref24.md:74	alt='Germ.' body_n=649
MW72	- Goth.	spacing	high	Goth.	441	0	Gothic.	mw72pref24.md:75	alt='Goth.' body_n=441
MW72	- Gram.	spacing	high	Gram.	182	0	A Practical Sanskrit Grammar by Monier Williams, third edition, published at the Clarendon Press.	mw72pref24.md:77	alt='Gram.' body_n=182
