dict	key_norm	class	confidence	alt_form	alt_body_count	body_count	expansion	sources	notes
SHS	f. or fem.	true_unused	low		0	0	Feminine.	shspref02.md:29	no_alt_hit
SHS	क्र्यादि०	true_unused	low		0	0	क्र्यादिगणीयः	shspref02.md:41	no_alt_hit
SHS	सङ्केतः	true_unused	low		0	0	सङ्केतबोधः	shspref02.md:39;shspref02.md:39	no_alt_hit
SHS	द्विक०	true_unused	low		0	0	द्विकर्मकः	shspref02.md:49	no_alt_hit
SHS	आत्म०	true_unused	low		0	0	आत्मनेपदी	shspref02.md:45	no_alt_hit
SHS	गौरा०	true_unused	low		0	0	गौरादित्वात्	shspref02.md:50	no_alt_hit
SHS	चुरा०	true_unused	low		0	0	चुरादिगणीयः	shspref02.md:42	no_alt_hit
SHS	पृषो०	true_unused	low		0	0	पृषोदरादित्वात्	shspref02.md:51	no_alt_hit
SHS	[?]	true_unused	low		0	0	प्रातिपदिकम्	shspref02.md:41;shspref02.md:42;shspref02.md:43;shspref02.md:44;shspref02.md:45;shspref02.md:46;shspref02.md:47;shspref02.md:48;shspref02.md:49;shspref02.md:50;shspref02.md:51	no_alt_hit
SHS	अक०	true_unused	low		0	0	अकर्मकः	shspref02.md:48	no_alt_hit
SHS	उभ०	true_unused	low		0	0	उभयपदी	shspref02.md:46	no_alt_hit
SHS	पर०	true_unused	low		0	0	परस्मैपदी	shspref02.md:44	no_alt_hit
SHS	षद०	true_unused	low		0	0	षदन्तः	shspref02.md:43	no_alt_hit
SHS	सक०	true_unused	low		0	0	सकर्मकः	shspref02.md:47	no_alt_hit
